Date,Volume,Close,Average
2016-09-15,90613177,115.57,114.6625
2016-09-14,112340318,111.77,110.5325
2016-09-13,62176190,107.95,107.8725
2016-09-12,45292770,105.44,104.085
2016-09-09,46556984,103.13,104.155
2016-09-08,53002026,105.52,106.32
2016-09-07,42364328,108.36,108.005
2016-09-06,26880391,107.7,107.8525
2016-09-02,26802450,107.73,107.5625
2016-09-01,26701523,106.73,106.3225
2016-08-31,29662406,106.1,105.992475
2016-08-30,24863945,106,105.95
2016-08-29,24970300,106.82,106.7925
2016-08-26,27766291,106.94,107.1525
2016-08-25,25086248,107.57,107.38
2016-08-24,23675081,108.03,108.25625
2016-08-23,21257669,108.85,108.8225
2016-08-22,25820230,108.51,108.58
2016-08-19,25368072,109.36,109.045
2016-08-18,21984703,109.08,109.2325
2016-08-17,25355976,109.22,109.0075
2016-08-16,33794448,109.38,109.6125
2016-08-15,25868209,109.48,108.81
2016-08-12,18660434,108.18,108.045
2016-08-11,27484506,107.93,108.3075
2016-08-10,24008505,108,108.3425
2016-08-09,26315204,108.81,108.4975
2016-08-08,28037220,108.37,107.855
2016-08-05,40553402,107.48,106.895
2016-08-04,27408650,105.87,105.6825
2016-08-03,30202641,105.79,105.3025
2016-08-02,33816556,104.48,105.15
2016-08-01,38167871,106.05,105.255
2016-07-29,27733688,104.21,104.1575
2016-07-28,39869839,104.34,103.61
2016-07-27,92344820,102.95,103.57875
2016-07-26,56239822,96.67,96.97
2016-07-25,40382921,97.34,97.8375
2016-07-22,28313669,98.66,98.8825
2016-07-21,32702028,99.43,99.8475
2016-07-20,26275968,99.96,100.03875
2016-07-19,23779924,99.87,99.6925
2016-07-18,36493867,99.83,99.315
2016-07-15,30136990,98.78,98.875
2016-07-14,38918997,98.79,98.1225
2016-07-13,25892171,96.87,97.1975
2016-07-12,24167463,97.42,97.3525
2016-07-11,23794945,96.98,97.0275
2016-07-08,28912103,96.68,96.5275
2016-07-07,25139558,95.94,95.94
2016-07-06,30949090,95.53,95.04
2016-07-05,27705210,94.99,95.06
2016-07-01,26026540,95.89,95.79375
2016-06-30,35836356,95.6,95.0275
2016-06-29,36531006,94.4,94.1375
2016-06-28,40444914,93.59,93.0725
2016-06-27,46622188,92.04,92.3975
2016-06-24,75311356,93.4,93.40375
2016-06-23,32240187,96.1,95.895
2016-06-22,29219122,95.55,96.01
2016-06-21,35546358,95.91,95.469
2016-06-20,34411901,95.1,95.675
2016-06-17,61008219,95.33,95.975
2016-06-16,31326815,97.55,96.955
2016-06-15,29445227,97.14,97.6
2016-06-14,31931944,97.46,97.50125
2016-06-13,38020494,97.34,98.0625
2016-06-10,31712936,98.83,98.796425
2016-06-09,26601354,99.65,99.15
2016-06-08,20848131,98.94,99.05
2016-06-07,22409450,99.03,99.2775
2016-06-06,23292504,98.63,99.015
